,year,state,district,winner,party,winning_ratio
0,1986,LA,1,Robert L. Livingston,republican,0.0
0,1986,LA,2,"Lindy \\""Mrs. Hale\""\"" Boggs""",democrat,1.0
0,1986,LA,3,W. J. (Billy) Tauzin,democrat,1.0
0,1986,LA,4,Buddy Roemer III,democrat,1.0
0,1986,LA,5,Jerry Huckaby,democrat,1.0
0,1986,LA,6,Richard Hugh Baker,republican,0.0
0,1986,LA,7,"James A. \\""Jimmy\""\"" Hayes""",democrat,1.0
0,1986,LA,8,Clyde C. Holloway,republican,0.4864115697499247
0,1986,MA,1,Silvio O. Conte,republican,0.22181596587446684
0,1986,MA,2,Edward P. Boland,democrat,0.6593966172902104
0,1986,MA,3,Joseph D. Early,democrat,1.0
0,1986,MA,4,Barney Frank,democrat,1.0
0,1986,MA,5,Chester G. Atkins,democrat,1.0
0,1986,MA,6,Nicholas Mavroules,democrat,1.0
0,1986,MA,7,Edward J. Markey,democrat,1.0
0,1986,MA,8,Joseph P. Kennedy II,democrat,0.7221792836933268
0,1986,MA,9,John Joseph Moakley,democrat,1.0
0,1986,MA,10,Gerry E. Studds,democrat,0.7108619006133463
0,1986,MA,11,Brian J. Donnelly,democrat,1.0
0,1986,MD,1,Roy Dyson,democrat,0.6681453172274164
0,1986,MD,2,Helen Delich Bentley,republican,0.4134711570523508
0,1986,MD,3,Benjamin L. Cardin,democrat,0.791079904907079
0,1986,MD,4,Thomas McMillen,democrat,0.5016497833695669
0,1986,MD,5,Steny H. Hoyer,democrat,0.8193413173652695
0,1986,MD,6,Beverly B. Byron,democrat,0.7222514466070489
0,1986,MD,7,Kweisi Mfume,democrat,0.8668431878856843
0,1986,MD,8,Constance A. Morella,republican,0.47128745547450235
0,1986,ME,1,Joseph E. Brennan,democrat,0.5485979793613918
0,1986,ME,2,Olympia J. Snowe,republican,0.22670284431137722
0,1986,MI,1,John Conyers Jr.,democrat,0.9006150084993411
0,1986,MI,2,Carl D. Pursell,republican,0.40961334411705785
0,1986,MI,3,Howard Wolpe,democrat,0.6036902406478627
0,1986,MI,4,Fred Upton,republican,0.37179223795274885
0,1986,MI,5,Paul B. Henry,republican,0.2876226227998725
0,1986,MI,6,Bob Carr,democrat,0.5667271764616897
0,1986,MI,7,Dale E. Kildee,democrat,0.8029078391090876
0,1986,MI,8,Bob Traxler,democrat,0.7263629652277015
0,1986,MI,9,Guy Vander Jagt,republican,0.35579449220791304
0,1986,MI,10,Bill Schuette,republican,0.4884822965010168
0,1986,MI,11,Bob Davis,republican,0.0
0,1986,MI,12,David E. Bonior,democrat,0.6635348449861831
0,1986,MI,13,Geo. W. Crockett Jr.,democrat,0.8604638072723179
0,1986,MI,14,Dennis M. Hertel,democrat,0.7318383944070578
0,1986,MI,15,William D. Ford,democrat,0.7565904414333967
0,1986,MI,16,John D. Dingell,democrat,0.7782209293424175
0,1986,MI,17,Sander Levin,democrat,0.7727981752630417
0,1986,MI,18,William S. Broomfield,republican,0.2622836581950242
0,1986,MN,1,Timothy J. (Tim) Penny,democrat,0.7237728863564052
0,1986,MN,2,Vin Weber,republican,0.48404247106234266
0,1986,MN,3,Bill Frenzel,republican,0.2986378271278791
0,1986,MN,4,Bruce F. Vento,democrat,0.728788780500427
0,1986,MN,5,Martin Olav Sabo,democratic-farmer-labor,1.0
0,1986,MN,6,Gerry Sikorski,democrat,0.6580942293731926
0,1986,MN,7,Arlan Stangeland,republican,0.0
0,1986,MN,8,James L. Oberstar,democrat,0.7256366523554667
0,1986,MO,1,William (Bill) Clay,democrat,0.6614502735337068
0,1986,MO,2,Jack Buechner,republican,0.48079651294282133
0,1986,MO,3,Richard A. Gephardt,democrat,0.6896525165150932
0,1986,MO,4,Ike Skelton,democrat,1.0
0,1986,MO,5,Alan Wheat,democrat,0.7197406853316236
0,1986,MO,6,Tom Coleman,republican,0.4328186013489528
0,1986,MO,7,Gene Taylor,democrat,1.0
0,1986,MO,8,Bill Emerson,republican,0.4747468043590799
0,1986,MO,9,Harold L. Volkmer,democrat,0.5747913558722912
0,1986,MS,1,Jamie L. Whitten,democrat,0.6642111452566648
0,1986,MS,2,Mike Espy,democrat,0.5170672719943993
0,1986,MS,3,"G.V. \\""Sonny\""\"" Montgomery""",democrat,1.0
0,1986,MS,4,Wayne Dowdy,democrat,0.7151047004807973
0,1986,MS,5,Trent Lott,republican,0.17655937264166421
0,1986,MT,1,Pat Williams,democrat,0.6166680231138602
0,1986,MT,2,Ron Marlenee,republican,0.46532937880617964
0,1986,NC,1,Walter B. Jones,republican,0.0
0,1986,NC,2,I. T. (Tim) Valentine Jr.,democrat,0.7456486877615677
0,1986,NC,3,Martin Lancaster,democrat,0.6445502760038965
0,1986,NC,4,David E. Price,democrat,0.5565742221685729
0,1986,NC,5,Stephen L. (Steve) Neal,democrat,0.5411752916935448
0,1986,NC,6,Howard Coble,republican,0.49972679296440004
0,1986,NC,7,Charles G. Rose III,democrat,0.6420462827988338
0,1986,NC,8,W. G. (Bill) Hefner,democrat,0.5786919228020014
0,1986,NC,9,J. Alex McMillan,republican,0.4868703382037397
0,1986,NC,10,Cass Ballenger,republican,0.425080685501278
0,1986,NC,11,James McClure Clarke,democrat,0.5069362945904652
0,1986,ND,0,Byron L. Dorgan,democrat,0.7634961711862791
0,1986,NE,1,Doug Bereuter,republican,0.35539333753288616
0,1986,NE,2,Hal Daub,republican,0.41409665707510257
0,1986,NE,3,Virginia Smith,republican,0.30169192575713555
0,1986,NH,1,Robert C. Smith,republican,0.4364593789334481
0,1986,NH,2,Judd Gregg,republican,0.25778217718617313
0,1986,NJ,1,James J. Florio,democrat,0.7621830928507377
0,1986,NJ,2,William J. Hughes,democrat,0.7044491881534273
0,1986,NJ,3,James J. Howard,democrat,0.5870089552238806
0,1986,NJ,4,Christopher H. Smith,republican,0.3851112204955114
0,1986,NJ,5,Marge Roukema,republican,0.32001297488884317
0,1986,NJ,6,Bernard J. Dwyer,democrat,0.7045725147786853
0,1986,NJ,7,Matthew J. Rinaldo,republican,0.209585660920525
0,1986,NJ,8,Robert A. Roe,democrat,0.6278708640554247
0,1986,NJ,9,Robert G. Torricelli,democrat,0.6902356383797936
0,1986,NJ,10,Peter W. Rodino Jr.,democrat,1.0
0,1986,NJ,11,Dean A. Gallo,republican,0.3198056509876085
0,1986,NJ,12,Jim Courter,republican,0.3651431703688236
0,1986,NJ,13,H. James Saxton,republican,0.34641048696228294
0,1986,NJ,14,Frank J. Guarini,democrat,1.0
0,1986,NM,1,Manuel Lujan Jr.,republican,0.2910182268403153
0,1986,NM,2,Joe Skeen,republican,0.37122002085505734
0,1986,NM,3,Bill Richardson,democrat,0.712966823515397
0,1986,NV,1,James H. Bilbray,democrat,0.5512070748493385
0,1986,NV,2,Barbara F. Vucanovich,republican,0.4158713054187192
0,1986,NY,1,George J. Hochbrueckner,democrat,1.0
0,1986,NY,2,Thomas J. Downey,democrat,1.0
0,1986,NY,3,Robert J. Mrazek,democrat,1.0
0,1986,NY,4,Norman F. Lent,conservative,0.35100959253859965
0,1986,NY,5,Raymond J. McGrath,conservative,0.37322405601963393
0,1986,NY,6,Floyd H. Flake,democrat,1.0
0,1986,NY,7,Gary L. Ackerman,democrat,1.0
0,1986,NY,8,James H. Scheuer,democrat,1.0
0,1986,NY,9,Thomas J. Manton,democrat,0.7377068248567856
0,1986,NY,10,Charles E. Schumer,democrat,1.0
0,1986,NY,11,Edolphus Towns,democrat,0.8993093510881447
0,1986,NY,12,Major R. Owens,democrat,1.0
0,1986,NY,13,Stephen J. Solarz,democrat,0.8406147570835458
0,1986,NY,14,Guy V. Molinari,conservative,0.3416410996076322
0,1986,NY,15,Bill Green,republican,0.4340755540907968
0,1986,NY,16,Charles B. Rangel,democrat,1.0
0,1986,NY,17,Ted Weiss,democrat,1.0
0,1986,NY,18,Robert Garcia,democrat,0.9414114199281528
0,1986,NY,19,Mario Biaggi,republican,0.0
0,1986,NY,20,Joseph J. DioGuardi,conservative,0.48845819777113664
0,1986,NY,21,Hamilton Fish Jr.,republican,0.2408283973383869
0,1986,NY,22,Benjamin A. Gilman,republican,0.2811069750411912
0,1986,NY,23,Samuel S. Stratton,democrat,1.0
0,1986,NY,24,Gerald B. Solomon,conservative,0.3215386826222141
0,1986,NY,25,Sherwood L. Boehlert,republican,0.24524913093858636
0,1986,NY,26,David O'B. Martin,conservative,0.0
0,1986,NY,27,Rosemary S. Pooler,democrat,0.4930209099250743
0,1986,NY,28,Matt McHugh,democrat,1.0
0,1986,NY,29,Frank Horton,republican,0.2553734932560606
0,1986,NY,30,Louisse M. Slaughter,democrat,1.0
0,1986,NY,31,Jack F. Kemp,conservative,0.4551111949245006
0,1986,NY,32,John J. LaFalce,democrat,1.0
0,1986,NY,33,Henry J. Nowak,democrat,1.0
0,1986,NY,34,Amory Houghton Jr.,conservative,0.41531993167783476
0,1986,OH,1,Thomas A. Luken,democrat,0.6172660103563314
0,1986,OH,2,Willis D. Gradison Jr.,republican,0.292561393585574
0,1986,OH,3,Tony P. Hall,democrat,0.7365333613029863
0,1986,OH,4,Michael G. Oxley,republican,0.18525948293458905
0,1986,OH,5,Delbert L. Latta,republican,0.34971953085160634
0,1986,OH,6,Bob McEwen,republican,0.28385485054777826
0,1986,OH,7,Mike DeWine,republican,0.0
0,1986,OH,8,Donald E. Lukens,republican,0.31931291905716463
0,1986,OH,9,Marcy Kaptur,democrat,0.7751616051185348
0,1986,OH,10,Clarence E. Miller,republican,0.29559640646730423
0,1986,OH,11,Dennis E. Eckart,democrat,0.7445054163941884
0,1986,OH,12,John R. Kasich,republican,0.2659930773444893
0,1986,OH,13,Donald J. Pease,democrat,0.628168774456984
0,1986,OH,14,Thomas C. Sawyer,democrat,0.5372459185648836
0,1986,OH,15,Chalmers P. Wylie,republican,0.3632040131600378
0,1986,OH,16,Ralph Regula,republican,0.23661726242371406
0,1986,OH,17,James A. Traficant Jr.,democrat,0.7225540851148289
0,1986,OH,18,Douglas Applegate,democrat,1.0
0,1986,OH,19,Edward F. Feighan,democrat,0.5478026624551263
0,1986,OH,20,Mary Rose Oakar,democrat,0.8486350080293645
0,1986,OH,21,Louis Stokes,democrat,0.8155170161343
0,1986,OK,1,James M. Inhofe,republican,0.43862656670128464
0,1986,OK,2,Mike Synar,democrat,0.7326625644437053
0,1986,OK,3,Wes Watkins,democrat,0.7812994702613058
0,1986,OK,4,Dave McCurdy,democrat,0.7618161548271188
0,1986,OK,5,Mckey Edwards,republican,0.29381289359215734
0,1986,OK,6,Glenn English,democrat,1.0
0,1986,OR,1,Les AuCoin,democrat,0.6170383380037392
0,1986,OR,2,Robert F. (Bob) Smith,republican,0.39813450633313896
0,1986,OR,3,Ron Wyden,democrat,0.8599680975031998
0,1986,OR,4,Peter A. DeFazio,democrat,0.5406717410431118
0,1986,OR,5,Denny Smith,republican,0.3952525504812773
0,1986,PA,1,Thomas M. Foglietta,democrat,0.7474393188461049
0,1986,PA,2,William H. Gray,democrat,1.0
0,1986,PA,3,Robert A. Borski,democrat,0.6177985867951885
0,1986,PA,4,Joseph P. Kolter,democrat,0.6095839997735283
0,1986,PA,5,Richard T. Schulze,republican,0.3425972485946518
0,1986,PA,6,Gus Yatron,democrat,0.6911408450704225
0,1986,PA,7,Curt Weldon,republican,0.3871267566439405
0,1986,PA,8,Peter H. Kostmayer,democrat,0.5503408696991873
0,1986,PA,9,Bud Shuster,republican,0.0
0,1986,PA,10,Joseph Michael McDade,republican,0.2533695097921952
0,1986,PA,11,Paul E. Kanjorski,democrat,0.7061059111753251
0,1986,PA,12,John P. Murtha,democrat,0.6742115053584319
0,1986,PA,13,Lawrence Coughlin,republican,0.41480805662416753
0,1986,PA,14,William J. Coyne,democrat,1.0
0,1986,PA,15,Don Ritter,republican,0.4322577218685746
0,1986,PA,16,Robert S. Walker,republican,0.25446246939334083
0,1986,PA,17,George W. Gekas,republican,0.26356572195008166
0,1986,PA,18,Doug Walgren,democrat,0.6300445175650827
0,1986,PA,19,Bill Goodling,republican,0.2711505120995352
0,1986,PA,20,Joseph M. Gaydos,democrat,1.0
0,1986,PA,21,Tom Ridge,republican,0.19148626629422716
0,1986,PA,22,Austin J. Murphy,democrat,1.0
0,1986,PA,23,Bill Clinger,republican,0.44521502753188824
0,1986,RI,1,Fernand J. St Germain,democrat,0.5768949102892713
0,1986,RI,2,Claudine Schneider,republican,0.28185272047993226
0,1986,SC,1,Arthur Ravenel Jr.,republican,0.4795758085931737
0,1986,SC,2,Floyd D. Spence,republican,0.4640159945128314
0,1986,SC,3,Butler Derrick,democrat,0.6843102314798796
0,1986,SC,4,Liz J. Patterson,democrat,0.5208456396704493
0,1986,SC,5,John Spratt,democrat,1.0
0,1986,SC,6,Robin Tallon,democrat,0.7553793328973185
0,1986,SD,0,Tim Johnson,democrat,0.591813559848545
0,1986,TN,1,James H. (Jimmy) Quillen,republican,0.311220156648108
0,1986,TN,2,John J. Duncan,republican,0.2378798899465545
0,1986,TN,3,Marilyn Lloyd,democrat,0.5393550798602625
0,1986,TN,4,Jim Cooper,democrat,1.0
0,1986,TN,5,Bill Boner,democrat,0.5918638364145814
0,1986,TN,6,Bart Gordon,democrat,0.7682533476688496
0,1986,TN,7,Don Sundquist,republican,0.27694274186096657
0,1986,TN,8,Ed Jones,democrat,0.804001865745389
0,1986,TN,9,Harold E. Ford,democrat,1.0
0,1986,TX,1,Jim Chapman,democrat,1.0
0,1986,TX,2,Charles Wilson,democrat,0.5837936289633127
0,1986,TX,3,Steve Bartlett,republican,0.0
0,1986,TX,4,Ralph M. Hall,democrat,0.7165841402312699
0,1986,TX,5,John Bryant,democrat,0.5896974988444353
0,1986,TX,6,Joe Baron,republican,0.44199145409814844
0,1986,TX,7,Bill Archer,republican,0.11971515464197469
0,1986,TX,8,Jack Fields,republican,0.3159746947789921
0,1986,TX,9,Jack Brooks,democrat,0.6152251110234304
0,1986,TX,10,"J. J. \\""Jake\""\"" Pickle""",democrat,0.7232025465365719
0,1986,TX,11,Marvin Leath,democrat,1.0
0,1986,TX,12,Jim Wright,democrat,0.6871633279600813
0,1986,TX,13,Beau Boulter,republican,0.35073765920221256
0,1986,TX,14,Mac Sweeney,republican,0.47674655537053046
0,1986,TX,15,E (Kika) de la Garza,democrat,1.0
0,1986,TX,16,Ronald Coleman,democrat,0.6569191414213554
0,1986,TX,17,Charles W. Stenholm,democrat,1.0
0,1986,TX,18,Mickey Leland,democrat,1.0
0,1986,TX,19,Larry Combest,republican,0.3801432902620371
0,1986,TX,20,Henry B. Gonzalez,democrat,1.0
0,1986,TX,21,Lamar Smith,republican,0.38860015232292455
0,1986,TX,22,Tom DeLay,republican,0.2823311869943119
0,1986,TX,23,Albert G. Bustamante,democrat,1.0
0,1986,TX,24,Martin Frost,democrat,0.6722552259490052
0,1986,TX,25,Mike Andrews,democrat,1.0
0,1986,TX,26,Dick Armey,republican,0.3189790207917743
0,1986,TX,27,Solomon P. Ortiz,democrat,1.0
0,1986,UT,1,James V. Hansen,republican,0.48440039916902544
0,1986,UT,2,Wayne owens,democrat,0.5578512996054769
0,1986,UT,3,Howard C. Nielson,republican,0.32963051841989144
0,1986,VA,1,"Herbert H. \\""Herb\""\"" Bateman""",republican,0.43979261089556276
0,1986,VA,2,Owen B. Pickett,democrat,0.5415093214612235
0,1986,VA,3,"Thomas J. \\""Tom\""\"" Bliley Jr.""",republican,0.3066538898089054
0,1986,VA,4,Norman Sisisky,democrat,1.0
0,1986,VA,5,"W. C. \\""Dan\""\"" Daniel""",democrat,1.0
0,1986,VA,6,"James R. \\""Jim\""\"" Olin""",democrat,0.6986799280968633
0,1986,VA,7,D. French Slaughter Jr.,republican,0.0
0,1986,VA,8,"Stanford E. \\""Stan\""\"" Parris""",republican,0.3822416797721766
0,1986,VA,9,"Frederick C. \\""Rick\""\"" Boucher""",democrat,1.0
0,1986,VA,10,Frank R. Wolf,republican,0.3980228404688836
0,1986,VT,0,James M. Jeffords,republican,0.0
0,1986,WA,1,John Miller,republican,0.4861747768348841
0,1986,WA,2,Al Swift,democrat,0.7219648733207261
0,1986,WA,3,Don Bonker,democrat,0.7355014418455623
0,1986,WA,4,Sid Morrison,republican,0.2793599549905561
0,1986,WA,5,Thomas S. Foley,democrat,0.7472300826831828
0,1986,WA,6,Norm Dicks,democrat,0.7121124666924956
0,1986,WA,7,Mike Lowry,democrat,0.726371327739734
0,1986,WA,8,Rod Chandler,republican,0.34797936735421997
0,1986,WI,1,Les Aspin,democrat,0.7549775185924437
0,1986,WI,2,Robert Kastenmeier,democrat,0.5566523493427047
0,1986,WI,3,Steven C. Gunderson,republican,0.35891499527137405
0,1986,WI,4,Gerald D. Kleczka,democrat,1.0
0,1986,WI,5,Jim Moody,democrat,1.0
0,1986,WI,6,Thomas E. Petri,republican,0.0
0,1986,WI,7,David R. Obey,democrat,0.6272485714957556
0,1986,WI,8,Toby Roth,republican,0.3264320771603003
0,1986,WI,9,F. James Sensenbrenner Jr.,republican,0.21778784906596316
0,1986,WV,1,Alan B. Mollohan,democrat,1.0
0,1986,WV,2,Harley O. Staggers Jr.,democrat,0.6947110791654915
0,1986,WV,3,Bob Wise,democrat,0.6491289904748477
0,1986,WV,4,Nick Joe Rahall II,democrat,0.7125093321257665
0,1986,WY,0,Dick Cheney,republican,0.3052814058715665
0,1988,AK,0,Don Young,republican,0.3734543527504728
0,1988,AL,1,"H. L. \\""Sonny\""\"" Callahan""",republican,0.40276286927708027
0,1988,AL,2,Bill Dickinson,republican,0.0
0,1988,AL,3,Bill Nichols,democrat,1.0
0,1988,AL,4,Tom Bevill,democrat,1.0
0,1988,AL,5,Ronnie G. Flippo,democrat,0.6507070783662725
0,1988,AL,6,Ben Erdreich,democrat,0.6688235407398848
0,1988,AL,7,Claude Harris,democrat,0.6822598598116784
0,1988,AR,1,Bill Alexander,democrat,1.0
0,1988,AR,2,Tommy F. Robinson,democrat,0.8345802613113005
0,1988,AR,3,John Paul Hammerschmidt,republican,0.25309395073709506
0,1988,AR,4,"Beryl Anthony, Jr.",democrat,0.6919419125268478
0,1988,AZ,1,John J. Rhodes III,republican,0.278829967151902
0,1988,AZ,2,Morris K. Udall,democrat,0.7334219259346275
0,1988,AZ,3,Bob Stump,republican,0.29334062462024546
0,1988,AZ,4,Jon Kyl,republican,0.0
0,1988,AZ,5,Jim Kolbe,republican,0.32202146122674447
0,1988,CA,1,"Douglas H, Bosco",democrat,0.6888458819675523
0,1988,CA,2,Wally Herger,republican,0.3958661092230267
0,1988,CA,3,Robert T. Matsui,democrat,0.7117695894726225
0,1988,CA,4,Vic Fazio,democrat,1.0
0,1988,CA,5,Nancy Pelosi,democrat,0.7985193335805097
0,1988,CA,6,Barbara Boxer,democrat,0.7335177041678606
0,1988,CA,7,George Miller,democrat,0.6841728240047649
0,1988,CA,8,Ronald V. Dellums,democrat,0.6807909840168174
0,1988,CA,9,Fortney Pete Stark,democrat,0.7295940283120627
0,1988,CA,10,Don Edwards,democrat,1.0
0,1988,CA,11,Tom Lantos,democrat,0.7440342855973897
0,1988,CA,12,Tom Campbell,republican,0.47118922712450617
0,1988,CA,13,Norman Y. Mineta,democrat,0.6924146023593458
0,1988,CA,14,Norman D. Shumway,republican,0.374040140401404
0,1988,CA,15,Tony Coelho,democrat,0.712258575482849
0,1988,CA,16,Leon E. Panetta,democrat,0.7857873504939622
0,1988,CA,17,"Charles \\""Chip\""\"" Pashayan""",republican,0.2853313329435515
0,1988,CA,18,Richard H. Lehman,democrat,0.6993919298577461
0,1988,CA,19,"Robert J. \\""Bob\""\"" Lagomarsino""",republican,0.49124568642325017
0,1988,CA,20,William M. Thomas,republican,0.27594566223044625
0,1988,CA,21,Elton Gallegly,republican,0.29453008337481335
0,1988,CA,22,Carlos J. Moorhead,republican,0.27206148841567446
0,1988,CA,23,Anthony C. Beilenson,democrat,0.657024022182526
0,1988,CA,24,Henry A. Waxman,democrat,0.752574341888724
0,1988,CA,25,Edward R. Roybal,democrat,1.0
0,1988,CA,26,Howard L. Berman,democrat,0.7034159425430041
0,1988,CA,27,Mel Levine,democrat,0.6949995563256289
0,1988,CA,28,Julian C. Dixon,democrat,0.793096225243055
0,1988,CA,29,"Augustus F. \\""Gus\""\"" Hawkins""",democrat,0.8584099228911909
0,1988,CA,30,"Matthew G. \\""Marty\""\"" Martinez""",democrat,0.6224092483159037
0,1988,CA,31,Mervyn M. Dymally,democrat,0.7369793188058655
0,1988,CA,32,Glenn M. Anderson,democrat,0.6933654218266254
0,1988,CA,33,David Dreier,republican,0.27514931434851164
0,1988,CA,34,Esteban E. Torres,democrat,0.6437804545549878
0,1988,CA,35,Jerry Lewis,republican,0.28204874221935183
0,1988,CA,36,"George E. Brown, Jr.",democrat,0.5597060127848745
0,1988,CA,37,Al McCandless,republican,0.3397082780829702
0,1988,CA,38,"Robert K. \\""Bob\""\"" Dornan""",republican,0.37404078835597365
0,1988,CA,39,"William E. \\""Bill\""\"" Dannemeyer""",republican,0.2354709690233927
0,1988,CA,40,Christopher Cox,republican,0.30826823786209556
0,1988,CA,41,Bill Lowery,republican,0.3200325141886694
0,1988,CA,42,Dana Rohrabacher,republican,0.3394754759585965
0,1988,CA,43,Ron Packard,republican,0.263654778399648
0,1988,CA,44,Jim Bates,democrat,0.6205854812141592
0,1988,CA,45,Duncan Hunter,republican,0.2449934909712741
0,1988,CO,1,Patricia Schroeder,democrat,0.6992987274749489
0,1988,CO,2,David E. Skaggs,democrat,0.6273514456524052
0,1988,CO,3,Ben Nighthorse Campbell,democrat,0.780437879479413
0,1988,CO,4,Hank Brown,republican,0.26924408432122904
0,1988,CO,5,Joel Hefley,republican,0.24869274556526344
0,1988,CO,6,Dan Schaefer,republican,0.36115050668164483
0,1988,CT,1,Barbara B. Kennelly,democrat,0.7724427440818041
0,1988,CT,2,Sam Gejdenson,democrat,0.6361816495110768
0,1988,CT,3,Bruce A. Morrison,democrat,0.6649283391001899
0,1988,CT,4,Christopher Shays,republican,0.27383419943613274
0,1988,CT,5,John G. Rowland,republican,0.2636130987986921
0,1988,CT,6,Nancy L. Johnson,republican,0.33419269486163994
0,1988,DE,0,Thomas R. Carper,democrat,0.6751664058469109
0,1988,FL,1,Earl Hutto,democrat,0.6688280285280985
0,1988,FL,2,Bill Grant,democrat,1.0
0,1988,FL,3,Charles E. Bennett,democrat,1.0
0,1988,FL,4,Craig T. James,republican,0.49842068483577917
0,1988,FL,5,Bill McCollum,republican,0.0
0,1988,FL,6,Cliff Stearns,republican,0.46539771369003535
0,1988,FL,7,Sam M. Gibbons,democrat,1.0
0,1988,FL,8,C. W. Bill Young,republican,0.2699090218554707
0,1988,FL,9,Michael Bilirakis,republican,0.0
0,1988,FL,10,Andy Ireland,democrat,1.0
0,1988,FL,11,Bill Nelson,democrat,0.6084267044366479
0,1988,FL,12,Tom Lewis,republican,0.0
0,1988,FL,13,Porter J. Goss,republican,0.28842306153230524
0,1988,FL,14,Harry A. Johnston,democrat,1.0
0,1988,FL,15,E. Clay Shaw,republican,0.33900798654897013
0,1988,FL,16,Larry Smith,democrat,0.6940447089023234
0,1988,FL,17,William Lehman,democrat,1.0
0,1988,FL,18,Claude Pepper,democrat,1.0
0,1988,FL,19,Dante B. Fascell,democrat,0.7238893375333586
0,1988,GA,1,Lindsay Thomas,democrat,0.6700382044612037
0,1988,GA,2,Charles Hatcher,democrat,0.6168852839606489
0,1988,GA,3,Richard Ray,democrat,1.0
0,1988,GA,4,Ben Jones,democrat,0.6028869866213806
0,1988,GA,5,John Lewis,democrat,0.7819789804901467
0,1988,GA,6,Newt Gingrich,republican,0.41083890840833615
0,1988,GA,7,George (Buddy) Darden,democrat,0.647809632532461
0,1988,GA,8,J. Roy Rowland,democrat,1.0
0,1988,GA,9,Ed Jenkins,democrat,0.6287912031181435
0,1988,GA,10,"Doug Barnard, Jr.",democrat,0.639798134039431
0,1988,HI,1,Patricia Saiki,republican,0.4409669710578267
0,1988,HI,2,Daniel K. Akaka,democrat,1.0
0,1988,IA,1,Jim Leach,republican,0.3873365720061296
0,1988,IA,2,Thomas J. Tauke,republican,0.43223106195088534
0,1988,IA,3,David R. Nagle,democrat,0.6337070715988347
0,1988,IA,4,Neal Smith,democrat,0.7167957429913153
0,1988,IA,5,Jim Lightfoot,republican,0.3612443046213929
0,1988,IA,6,Fred Grandy,republican,0.3561310257682647
0,1988,ID,1,Larry E. Craig,republican,0.34214712793543145
0,1988,ID,2,Richard H. Stallings,democrat,0.65223109153745
0,1988,IL,1,Charles A. Hayes,democrat,0.960480576785777
0,1988,IL,2,Gus Savage,democrat,0.8274491731852268
0,1988,IL,3,Marty Russo,democrat,0.6223079531965406
0,1988,IL,4,George E. Sangmeister,democrat,1.0
0,1988,IL,5,William O. Lipinski,democrat,0.6127705556828973
0,1988,IL,6,Henry J. Hyde,republican,0.2631910060558328
0,1988,IL,7,Cardiss Collins,democrat,1.0
0,1988,IL,8,Dan Rostenkowski,democrat,0.7565859242767949
0,1988,IL,9,Sidney R. Yates,democrat,0.667281863505047
0,1988,IL,10,John Edward Porter,republican,0.27519592512322477
0,1988,IL,11,Frank Annunzio,democrat,0.6450827939405216
0,1988,IL,12,Philip M. Crane,republican,0.24818064001595053
0,1988,IL,13,Harris W. Fawell,republican,0.29839304615581996
0,1988,IL,14,J. Dennis Hastert,republican,0.26292149221508676
0,1988,IL,15,Edward R. Madigan,republican,0.28275964406875065
0,1988,IL,16,Lynn Martin,republican,0.3607193370385864
0,1988,IL,17,Lane Evans,democrat,0.6486818204133733
0,1988,IL,18,Robert H. Michel,republican,0.4529325450122119
0,1988,IL,19,Terry L. Bruce,democrat,0.6423792720065742
0,1988,IL,20,Richard J. Durbin,democrat,0.6887272955929645
0,1988,IL,21,Jerry F. Costello,democrat,0.5259689595022389
0,1988,IL,22,Glenn Poshard,democrat,0.648775447513195
0,1988,IN,1,Peter J. Visclosky,democrat,0.7709435835094548
0,1988,IN,2,Philip R. Sharp,democrat,0.5320097742547586
0,1988,IN,3,John Hiler,republican,0.45711645187940797
0,1988,IN,4,Dan Coats,republican,0.37853554019030866
0,1988,IN,5,Jim Jontz,democrat,0.5631701089615946
0,1988,IN,6,Dan Burton,republican,0.27113479133698404
0,1988,IN,7,John T. Myers,republican,0.3820723466277991
0,1988,IN,8,Frank McCloskey,democrat,0.6181453235144921
0,1988,IN,9,Lee H. Hamilton,democrat,0.7071860631597153
0,1988,IN,10,"Andrew Jacobs, Jr.",democrat,0.6054431885782272
0,1988,KS,1,Pat Roberts,republican,0.0
0,1988,KS,2,Jim Slattery,democrat,0.7327206358805995
0,1988,KS,3,Jan Meyers,republican,0.26426913244066563
0,1988,KS,4,Dan Glickman,democrat,1.0
0,1988,KS,5,Bob Whittaker,republican,0.2984196562463952
0,1988,KY,1,"Carroll Hubbard, Jr.",democrat,1.0
0,1988,KY,2,William H. Natcher,democrat,0.6061108152356155
0,1988,KY,3,Romano L. Mazzoli,democrat,0.6969551349752862
0,1988,KY,4,Jim Bunning,republican,0.25779370386983647
0,1988,KY,5,Harold Rogers,republican,0.0
0,1988,KY,6,Larry J. Hopkins,republican,0.26021453537423167
0,1988,KY,7,Carl C. Perkins,democrat,0.5871565189478594
0,1988,LA,1,Robert L. Livingston,republican,0.0
0,1988,LA,2,Lindy Boggs,democrat,1.0
0,1988,LA,3,W. J. Tauzin,democrat,1.0
0,1988,LA,4,Jim McCrery,republican,0.0
0,1988,LA,5,Jerry Huckaby,democrat,1.0
0,1988,LA,6,Richard Baker,republican,0.0
0,1988,LA,7,Jimmy Hayes,democrat,1.0
0,1988,LA,8,Clyde C. Holloway,republican,0.43243084885622907
0,1988,MA,1,Silvio O. Conte,republican,0.17271811171830265
0,1988,MA,2,Richard E. Neal,democrat,1.0
0,1988,MA,3,Joseph D. Early,democrat,1.0
